stop_point_id,lat,lon,name,first_stop_area_id,osm:alt_name,osm:amenity,osm:bench,osm:bus,osm:covered,osm:created_by,osm:fixme,osm:highway,osm:local_ref,osm:name,osm:name:en,osm:network,osm:note,osm:official_status,osm:operator,osm:public_transport,osm:ref,osm:shelter,osm:source,osm:station,osm:tactile_paving,osm:taxi,osm:tourism,osm:wheelchair
StopPoint:node:5079240138,5.6157368,-0.23751819999999998,Akwetteyman Zongo,,,,,yes,,,,bus_stop,,Akwetteyman Zongo,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079240139,5.614324,-0.24017819999999998,Akweteman Zongo (Last Stop),,,,,yes,,,,bus_stop,,Akweteman Zongo (Last Stop),,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079446426,5.7500896,-0.34214429999999996,Akotoshi No 2,,,,,yes,,,,bus_stop,,Akotoshi No 2,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079467258,5.7573143,-0.32384409999999997,Gaogao,,,,,yes,,,,bus_stop,,Gaogao,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079513343,5.5688527,-0.2009011,Accra High School,,,,,yes,,,,bus_stop,,Accra High School,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079513344,5.5771783,-0.19703949999999998,Overhead,,,,,yes,,,,bus_stop,,Overhead,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079513345,5.5819849999999995,-0.1948065,Nima Junction,,,,,yes,,,,bus_stop,,Nima Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079513346,5.5867284,-0.19271629999999998,Kanda Masalaachi,,,,,yes,,,,bus_stop,,Kanda Masalaachi,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079513347,5.5940468999999995,-0.18948879999999999,Kaukudi,,,,,yes,,,,bus_stop,,Kaukudi,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586572,5.6196832,-0.22586679999999998,Curve,,,,,yes,,,,bus_stop,,Curve,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586573,5.6196274,-0.22501839999999998,Vulcanizer,,,,,yes,,,,bus_stop,,Vulcanizer,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586574,5.601230999999999,-0.1975412,Pig Farm Junction,,,,,yes,,,,bus_stop,,Pig Farm Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586575,5.5931947,-0.1894146,Kaukudi,,,,,yes,,,,bus_stop,,Kaukudi,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586576,5.5885563,-0.1918205,Library,,,,,yes,,,,bus_stop,,Library,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586577,5.5868755,-0.1924785,441,,,,,yes,,,,bus_stop,,441,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586578,5.582611399999999,-0.19437959999999999,Nima Junction,,,,,yes,,,,bus_stop,,Nima Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079586579,5.5709431,-0.199547,Sunny FM,,,,,yes,,,,bus_stop,,Sunny FM,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079630603,5.5633178,-0.1431045,La-Palm Hotel,,,,,yes,,,,bus_stop,,La-Palm Hotel,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079630604,5.5655700999999995,-0.1448749,Green Court,,,,,yes,,,,bus_stop,,Green Court,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
